mz,rt,into,pcgroup
54.99988949,8.456691667,94186.4358,1
55.14749423,8.463425,383899.111,1
57.01553217,8.45025,54216.25557,1
58.02328387,8.459033333,1217265.25,1
59.03116706,8.45905,5633735.693,1
60.03074263,8.454658333,53952.60158,1
61.01042553,8.459066667,1774070.225,1
66.00822419,8.45905,253060.6781,1
66.02079976,8.4611,4605286.67,1
67.01921548,8.454666667,104693.2422,1
68.01827317,8.454783333,23063.02091,1
68.04948333,8.45905,2194113.885,1
69.05730059,8.45905,465382.4789,1
70.01077932,8.45905,160823.6756,1
70.02335648,8.461233333,441770.0349,1
70.06514673,8.45905,3411332.083,1
71.03115774,8.45905,541758.7923,1
71.04912289,8.45905,182403.0242,1
72.03898686,8.45905,7465618.516,1
72.74320183,8.456708333,162164.7792,1
72.87556133,8.461083333,537314.333,1
72.97017091,8.45025,50200.95647,1
73.00758886,8.45025,73887.68559,1
73.03526844,8.459033333,4276451.53,1
73.03864662,8.45905,187742.6379,1
73.04259098,8.454666667,494604.3134,1
73.05513665,8.454691667,105821.5766,1
73.05833443,8.459033333,4219559.644,1
73.08582486,8.4567,149540.0685,1
73.12326777,8.448083333,30693.86101,1
73.21865116,8.45905,470103.5971,1
73.3522361,8.45465,75299.27208,1
74.0356553,8.459016667,142257.9771,1
74.03833771,8.450133333,9304.499822,1
75.04971278,8.45905,264053.4632,1
75.52582544,8.458983333,174435.8409,1
76.02448995,8.454675,61740.56373,1
76.02562678,8.45905,728741.5638,1
76.02941933,8.454566667,130322.0558,1
76.04699334,8.459033333,331690.9049,1
77.00530536,8.45905,1098579.261,1
77.02171345,8.46785,782324.3082,1
77.02288712,8.45685,367563.5378,1
79.52621795,8.463383333,359248.3498,1
80.0494594,8.45905,823432.3082,1
81.05721283,8.459033333,11800.14167,1
83.03113263,8.45905,1117042.696,1
84.02640648,8.459041667,931272.8845,1
85.04679143,8.45905,1785847.037,1
86.00565376,8.456708333,164143.5574,1
86.04202784,8.458983333,645285.4102,1
86.05458881,8.4635,36514.78481,1
86.97169352,8.459041667,109409.9949,1
87.06245701,8.45905,341970.7443,1
88.98735809,8.45465,19984.73443,1
91.05735484,8.459033333,5425967.368,1
92.05693452,8.452533333,69246.20935,1
93.05423737,8.454666667,41764.6059,1
94.06513644,8.450275,88088.47695,1
95.03113882,8.448091667,68311.79994,1
95.03653853,8.452466667,20594.69242,1
96.04437146,8.452516667,92948.6456,1
97.04681185,8.45905,318638.1198,1
97.0522132,8.461283333,82223.25038,1
98.05462311,8.458733333,78450.46469,1
99.02607033,8.458733333,144998.7985,1
99.049865,8.45905,1045351.227,1
99.06243928,8.454658333,502128.2637,1
100.0212855,8.459083333,499224.8318,1
100.0702479,8.459041667,261358.6361,1
100.5497089,8.45905,809169.5312,1
100.9873409,8.454633333,55770.21867,1
101.0417249,8.45905,690754.1153,1
102.0733414,8.448091667,552496.8458,1
103.0029583,8.45905,1158141.975,1
105.0186489,8.45905,274213.3831,1
105.541853,8.463383333,436632.4606,1
106.5315094,8.463383333,138484.0418,1
107.0354303,8.463416667,188429.2155,1
109.5549954,8.459,273711.5727,1
110.0420232,8.459,198869.0155,1
112.0576492,8.454716667,302117.8601,1
113.0236771,8.45685,139188.9684,1
113.065486,8.463116667,3727148.979,1
114.5471394,8.461208333,798983.351,1
115.0029697,8.459066667,873792.8096,1
115.0447934,8.452516667,82841.18382,1
115.062439,8.45465,11587.39282,1
115.0811586,8.458983333,657026.9446,1
116.0024643,8.454633333,13471.17042,1
116.040622,8.45905,89512.08538,1
117.0185878,8.459083333,3471707.534,1
118.0181635,8.456858333,103352.3528,1
118.9979014,8.45905,436733.5425,1
119.0155494,8.454783333,45795.38678,1
119.0342933,8.459083333,565645.1512,1
121.0135558,8.463383333,120995.9505,1
124.0577076,8.45905,1269327.212,1
126.0369703,8.459033333,176467.3816,1
126.0733425,8.459033333,1902330.32,1
127.0810618,8.463366667,3218393.211,1
128.0526101,8.45905,567305.5463,1
128.0807318,8.459033333,49393.20197,1
129.0366247,8.45905,634234.6374,1
131.0343099,8.459033333,12523541.23,1
132.0338714,8.45905,989989.9198,1
132.0375925,8.459033333,213458.3333,1
132.0420413,8.456691667,91286.72514,1
133.0118695,8.456766667,43497.92318,1
133.0135434,8.463375,3391734.856,1
133.0311326,8.458733333,502337.7929,1
133.0499352,8.45905,9958911.874,1
134.0130125,8.456841667,71790.08051,1
134.0495129,8.45905,830930.8505,1
134.053269,8.454725,119683.7991,1
135.0292402,8.454716667,572708.4901,1
135.0468543,8.45905,388032.4595,1
138.0370828,8.459033333,309173.8395,1
139.0813424,8.4503,275484.1785,1
140.0527702,8.461241667,67637.32791,1
140.0890966,8.459016667,14519791.72,1
141.0887968,8.459016667,466334.7043,1
141.0925509,8.459033333,885701.3443,1
141.0969885,8.459083333,5009658.296,1
141.2817127,8.463366667,1548754.57,1
141.33486,8.452541667,129582.7701,1
141.6403497,8.463116667,2716383.125,1
141.8966908,8.45905,517765.7722,1
141.898245,8.4567,84258.3742,1
141.9980429,8.45905,472650.7317,1
141.9996908,8.458983333,263116.2672,1
142.0370559,8.459,261699.8927,1
142.0412827,8.454733333,14258.81877,1
142.0662842,8.459033333,22305.37909,1
142.0688068,8.4611,1008978.283,1
142.0733059,8.463116667,12835874.21,1
142.0786477,8.454666667,120686.3532,1
142.08137,8.45905,631359.634,1
142.0841197,8.458983333,441198.7172,1
142.086514,8.454691667,404705.0119,1
142.0886833,8.463416667,290404.3739,1
142.1045724,8.463116667,2174811934,1
142.1227571,8.450291667,288145.0107,1
142.1249164,8.463425,421900.8871,1
142.1277841,8.45905,609385.8928,1
142.1305375,8.452483333,125000.5639,1
142.1329142,8.454683333,116716.1294,1
142.1357399,8.463116667,12326459.66,1
